岿,林具,荤绊扒荐,荤噶磊荐,吝惑磊荐,版惑磊荐,何惑脚绊磊荐
1,具,7615,170,2750,8223,755
1,林,9355,183,3469,9936,966
2,具,6613,151,2352,7060,650
2,林,8219,129,2997,8528,736
3,具,7300,168,2669,7420,707
3,林,9747,127,3599,9737,914
4,具,7185,146,2557,7500,763
4,林,10532,147,3953,10738,1019
5,具,7276,173,2610,7314,800
5,林,11226,193,4274,11179,1091
6,具,7221,144,2586,7309,723
6,林,10826,171,3992,10778,1066
7,具,7663,187,2623,8026,796
7,林,10495,170,3764,11079,1074
8,具,7747,165,2757,8068,801
8,林,10935,188,3956,11540,1040
9,具,8038,214,2860,8056,803
9,林,11853,205,4255,12134,1263
10,具,8007,222,3008,8383,836
10,林,10856,198,4076,11317,1078
11,具,8009,176,2780,8373,744
11,林,11368,203,4061,11451,1063
12,具,8092,193,2746,8690,785
12,林,10157,162,3518,10361,944
